genre,id
Comedy,tt0050598
Drama,tt0050598
Comedy,tt0023948
Drama,tt0023948
Comedy,tt0037077
Romance,tt0037077
War,tt0037077
Crime,tt0035753
Drama,tt0035753
Mystery,tt0035753
Crime,tt0119167
Drama,tt0119167
Thriller,tt0119167
Horror,tt0053459
Drama,tt0073540
Mystery,tt0073540
Crime,tt0062229
Drama,tt0062229
Mystery,tt0062229
Drama,tt0069995
Horror,tt0069995
Thriller,tt0069995
Comedy,tt0025919
Romance,tt0025919
Drama,tt0054167
Horror,tt0054167
Thriller,tt0054167
Crime,tt0061811
Drama,tt0061811
Mystery,tt0061811
Action,tt3317282
Horror,tt3317282
Romance,tt3317282
Mystery,tt0071877
Action,tt0019421
Comedy,tt0019421
Drama,tt0019421
Crime,tt0090756
Mystery,tt0090756
Thriller,tt0090756
Mystery,tt0077413
Crime,tt0083908
Drama,tt0083908
Mystery,tt0083908
Crime,tt0093223
Mystery,tt0093223
Thriller,tt0093223
Crime,tt1216487
Drama,tt1216487
Mystery,tt1216487
Crime,tt0112722
Drama,tt0112722
Mystery,tt0112722
Crime,tt0228786
Mystery,tt0228786
Thriller,tt0228786
Crime,tt0021165
Mystery,tt0021165
Thriller,tt0021165
Comedy,tt0027996
Drama,tt0027996
Comedy,tt0035169
Romance,tt0035169
Documentary,tt0091787
Short,tt0091787
Documentary,tt0080388
Family,tt0080388
SciFi,tt0080388
Crime,tt0028096
Drama,tt0028096
FilmNoir,tt0028096
Biography,tt0171804
Drama,tt0171804
Crime,tt0086066
Drama,tt0086066
Crime,tt0067549
Drama,tt0067549
Romance,tt0067549
Comedy,tt0019379
Romance,tt0019379
Crime,tt0456396
Drama,tt0456396
Romance,tt0456396
Drama,tt0117509
Romance,tt0117509
Crime,tt0029453
Drama,tt0029453
Romance,tt0029453
Crime,tt0114660
Drama,tt0114660
Crime,tt0069762
Drama,tt0069762
Crime,tt0043386
Drama,tt0043386
Romance,tt0043386
Action,tt0010879
Comedy,tt0010879
Romance,tt0010879
Action,tt0433547
Adventure,tt0433547
Comedy,tt0433547
Comedy,tt0028597
Romance,tt0028597
Crime,tt0048728
Mystery,tt0048728
Romance,tt0048728
Drama,tt0037008
FilmNoir,tt0037008
Mystery,tt0037008
Comedy,tt0028010
Romance,tt0028010
Drama,tt0058329
Mystery,tt0058329
Romance,tt0058329
Comedy,tt0802096
GameShow,tt0802096
Comedy,tt0015116
Drama,tt0015116
Documentary,tt0462071
Action,tt0056714
Adventure,tt0056714
Drama,tt0056714
Action,tt0036400
Adventure,tt0036400
Drama,tt0036400
Action,tt0955308
