tid,title,url,imdbRating,duration,year,nrOfWins,nrOfNominations
tt0120689,The Green Mile (1999),http://www.imdb.com/title/tt0120689/,8.5,11340,1999,15,23
tt0120735,Bube Dame König grAS (1998),http://www.imdb.com/title/tt0120735/,8.2,6420,1998,13,7
tt0120737,Der Herr der Ringe - Die Gefährten (2001),http://www.imdb.com/title/tt0120737/,8.9,10680,2001,82,90
tt0120815,Der Soldat James Ryan (1998),http://www.imdb.com/title/tt0120815/,8.6,10140,1998,58,56
tt0133093,Matrix (1999),http://www.imdb.com/title/tt0133093/,8.7,8160,1999,29,36
tt0137523,Fight Club (1999),http://www.imdb.com/title/tt0137523/,8.9,8340,1999,5,13
tt0154420,Das Fest (1998),http://www.imdb.com/title/tt0154420/,8.2,6300,1998,28,16
tt0167260,Der Herr der Ringe - Die Rückkehr des Königs (2003),http://www.imdb.com/title/tt0167260/,8.9,12060,2003,122,74
tt0167261,Der Herr der Ringe - Die zwei Türme (2002),http://www.imdb.com/title/tt0167261/,8.8,10740,2002,76,83
tt0167404,Sixth Sense (1999),http://www.imdb.com/title/tt0167404/,8.2,6420,1999,32,37
tt0169102,Lagaan: Once Upon a Time in India (2001),http://www.imdb.com/title/tt0169102/,8.3,13440,2001,44,19
tt0169547,American Beauty (1999),http://www.imdb.com/title/tt0169547/,8.5,7320,1999,91,74
tt0172495,Gladiator (2000),http://www.imdb.com/title/tt0172495/,8.5,9300,2000,51,80
tt0180093,Requiem for a Dream (2000),http://www.imdb.com/title/tt0180093/,8.4,6120,2000,27,36
tt0198781,Die Monster AG (2001),http://www.imdb.com/title/tt0198781/,8.1,5520,2001,14,31
tt0208092,Snatch - Schweine und Diamanten (2000),http://www.imdb.com/title/tt0208092/,8.4,6240,2000,4,5
tt0209144,Memento (2000),http://www.imdb.com/title/tt0209144/,8.6,6780,2000,47,34
tt0211915,Die fabelhafte Welt der Amelie (2001),http://www.imdb.com/title/tt0211915/,8.5,7320,2001,54,50
tt0245429,Chihiros Reise ins Zauberland (2001),http://www.imdb.com/title/tt0245429/,8.6,7500,2001,35,19
tt0245712,Amores perros (2000),http://www.imdb.com/title/tt0245712/,8.2,9240,2000,56,15
tt0246578,Donnie Darko (2001),http://www.imdb.com/title/tt0246578/,8.1,6780,2001,11,12
tt0253474,Der Pianist (2002),http://www.imdb.com/title/tt0253474/,8.5,9000,2002,49,47
tt0266543,Findet Nemo (2003),http://www.imdb.com/title/tt0266543/,8.2,6000,2003,37,37
tt0266697,Kill Bill: Vol. 1 (2003),http://www.imdb.com/title/tt0266697/,8.2,6660,2003,16,43
tt0268978,A Beautiful Mind - Genie und Wahnsinn (2001),http://www.imdb.com/title/tt0268978/,8.2,8100,2001,28,51
tt0317248,City of God (2002),http://www.imdb.com/title/tt0317248/,8.7,7800,2002,57,26
tt0325980,Fluch der Karibik (2003),http://www.imdb.com/title/tt0325980/,8.1,8580,2003,28,71
tt0338013,Vergiss mein nicht (2004),http://www.imdb.com/title/tt0338013/,8.4,6480,2004,46,54
tt0338564,Infernal Affairs - Die achte Hölle (2002),http://www.imdb.com/title/tt0338564/,8.2,6060,2002,23,20
tt0347149,Das wandelnde Schloss (2004),http://www.imdb.com/title/tt0347149/,8.2,7140,2004,9,14
tt0353969,Salinui chueok (2003),http://www.imdb.com/title/tt0353969/,8.1,7800,2003,14,2
tt0361748,Inglourious Basterds (2009),http://www.imdb.com/title/tt0361748/,8.3,9180,2009,76,63
tt0363163,Der Untergang (2004),http://www.imdb.com/title/tt0363163/,8.3,9360,2004,18,17
tt0364569,Oldboy (2003),http://www.imdb.com/title/tt0364569/,8.4,7200,2003,18,11
tt0367110,Swades: We\,swades we the people,http://www.imdb.com/title/tt0367110/,27617,12600,video.movie,12
tt0372784,Batman Begins (2005),http://www.imdb.com/title/tt0372784/,8.3,8400,2005,9,44
tt0381681,Before Sunset (2004),http://www.imdb.com/title/tt0381681/,8.1,4800,2004,8,12
tt0395169,Hotel Ruanda (2004),http://www.imdb.com/title/tt0395169/,8.2,7260,2004,14,34
tt0401383,Schmetterling und Taucherglocke (2007),http://www.imdb.com/title/tt0401383/,8.1,6720,2007,56,41
tt0401792,Sin City (2005),http://www.imdb.com/title/tt0401792/,8.2,7440,2005,21,29
tt0405094,Das Leben der Anderen (2006),http://www.imdb.com/title/tt0405094/,8.5,8220,2006,66,25
tt0405159,Million Dollar Baby (2004),http://www.imdb.com/title/tt0405159/,8.1,7920,2004,58,34
tt0405508,Rang De Basanti (2006),http://www.imdb.com/title/tt0405508/,8.6,9420,2006,16,18
tt0407887,Departed - Unter Feinden (2006),http://www.imdb.com/title/tt0407887/,8.5,9060,2006,64,63
tt0434409,V wie Vendetta (2005),http://www.imdb.com/title/tt0434409/,8.2,7920,2005,4,17
tt0435761,Toy Story 3 (2010),http://www.imdb.com/title/tt0435761/,8.5,6180,2010,36,44
tt0440963,Das Bourne Ultimatum (2007),http://www.imdb.com/title/tt0440963/,8.1,6900,2007,17,27
